"era_countryid","era_countrycode","era_isocountrycode","era_name"
"cff9e6ef-ce96-ea11-b813-005056830319","AFG","4","Afghanistan"
"d1f9e6ef-ce96-ea11-b813-005056830319","ALA","248","Åland Islands"
"d3f9e6ef-ce96-ea11-b813-005056830319","ALB","8","Albania"
"d5f9e6ef-ce96-ea11-b813-005056830319","DZA","12","Algeria"
"d7f9e6ef-ce96-ea11-b813-005056830319","ASM","16","American Samoa"
"d9f9e6ef-ce96-ea11-b813-005056830319","AND","20","Andorra"
"dbf9e6ef-ce96-ea11-b813-005056830319","AGO","24","Angola"
"ddf9e6ef-ce96-ea11-b813-005056830319","AIA","660","Anguilla"
"dff9e6ef-ce96-ea11-b813-005056830319","ATA","10","Antarctica"
"e1f9e6ef-ce96-ea11-b813-005056830319","ATG","28","Antigua and Barbuda"
"e3f9e6ef-ce96-ea11-b813-005056830319","ARG","32","Argentina"
"e5f9e6ef-ce96-ea11-b813-005056830319","ARM","51","Armenia"
"e7f9e6ef-ce96-ea11-b813-005056830319","ABW","533","Aruba"
"e9f9e6ef-ce96-ea11-b813-005056830319","AUS","36","Australia"
"ebf9e6ef-ce96-ea11-b813-005056830319","AUT","40","Austria"
"edf9e6ef-ce96-ea11-b813-005056830319","AZE","31","Azerbaijan"
"eff9e6ef-ce96-ea11-b813-005056830319","BHS","44","Bahamas"
"f1f9e6ef-ce96-ea11-b813-005056830319","BHR","48","Bahrain"
"f3f9e6ef-ce96-ea11-b813-005056830319","BGD","50","Bangladesh"
"f5f9e6ef-ce96-ea11-b813-005056830319","BRB","52","Barbados"
"f7f9e6ef-ce96-ea11-b813-005056830319","BLR","112","Belarus"
"f9f9e6ef-ce96-ea11-b813-005056830319","BEL","56","Belgium"
"fbf9e6ef-ce96-ea11-b813-005056830319","BLZ","84","Belize"
"fdf9e6ef-ce96-ea11-b813-005056830319","BEN","204","Benin"
"fff9e6ef-ce96-ea11-b813-005056830319","BMU","60","Bermuda"
"01fae6ef-ce96-ea11-b813-005056830319","BTN","64","Bhutan"
"03fae6ef-ce96-ea11-b813-005056830319","BOL","68","Bolivia (Plurinational State of)"
"07fae6ef-ce96-ea11-b813-005056830319","BIH","70","Bosnia and Herzegovina"
"09fae6ef-ce96-ea11-b813-005056830319","BWA","72","Botswana"
"0bfae6ef-ce96-ea11-b813-005056830319","BVT","74","Bouvet Island"
"0dfae6ef-ce96-ea11-b813-005056830319","BRA","76","Brazil"
"0ffae6ef-ce96-ea11-b813-005056830319","IOT","86","British Indian Ocean Territory"
"11fae6ef-ce96-ea11-b813-005056830319","BRN","96","Brunei Darussalam"
"13fae6ef-ce96-ea11-b813-005056830319","BGR","100","Bulgaria"
"15fae6ef-ce96-ea11-b813-005056830319","BFA","854","Burkina Faso"
"17fae6ef-ce96-ea11-b813-005056830319","BDI","108","Burundi"
"19fae6ef-ce96-ea11-b813-005056830319","CPV","132","Cabo Verde"
"1bfae6ef-ce96-ea11-b813-005056830319","KHM","116","Cambodia"
"1dfae6ef-ce96-ea11-b813-005056830319","CMR","120","Cameroon"
"21fae6ef-ce96-ea11-b813-005056830319","CYM","136","Cayman Islands"
"23fae6ef-ce96-ea11-b813-005056830319","CAF","140","Central African Republic"
"25fae6ef-ce96-ea11-b813-005056830319","TCD","148","Chad"
"27fae6ef-ce96-ea11-b813-005056830319","CHL","152","Chile"
"29fae6ef-ce96-ea11-b813-005056830319","CHN","156","China"
"2bfae6ef-ce96-ea11-b813-005056830319","CXR","162","Christmas Island"
"2dfae6ef-ce96-ea11-b813-005056830319","CCK","166","Cocos (Keeling) Islands"
"2ffae6ef-ce96-ea11-b813-005056830319","COL","170","Colombia"
"31fae6ef-ce96-ea11-b813-005056830319","COM","174","Comoros"
"33fae6ef-ce96-ea11-b813-005056830319","COG","178","Congo"
"37fae6ef-ce96-ea11-b813-005056830319","COK","184","Cook Islands"
"39fae6ef-ce96-ea11-b813-005056830319","CRI","188","Costa Rica"
"3bfae6ef-ce96-ea11-b813-005056830319","CIV","384","Côte d'Ivoire"
"3dfae6ef-ce96-ea11-b813-005056830319","HRV","191","Croatia"
"3ffae6ef-ce96-ea11-b813-005056830319","CUB","192","Cuba"
"41fae6ef-ce96-ea11-b813-005056830319","CUW","531","Curaçao"
"43fae6ef-ce96-ea11-b813-005056830319","CYP","196","Cyprus"
"45fae6ef-ce96-ea11-b813-005056830319","CZE","203","Czechia"
"47fae6ef-ce96-ea11-b813-005056830319","DNK","208","Denmark"
"49fae6ef-ce96-ea11-b813-005056830319","DJI","262","Djibouti"
"4bfae6ef-ce96-ea11-b813-005056830319","DMA","212","Dominica"
"4dfae6ef-ce96-ea11-b813-005056830319","DOM","214","Dominican Republic"
"4ffae6ef-ce96-ea11-b813-005056830319","ECU","218","Ecuador"
"51fae6ef-ce96-ea11-b813-005056830319","EGY","818","Egypt"
"53fae6ef-ce96-ea11-b813-005056830319","SLV","222","El Salvador"
"55fae6ef-ce96-ea11-b813-005056830319","GNQ","226","Equatorial Guinea"
"57fae6ef-ce96-ea11-b813-005056830319","ERI","232","Eritrea"
"59fae6ef-ce96-ea11-b813-005056830319","EST","233","Estonia"
"5bfae6ef-ce96-ea11-b813-005056830319","SWZ","748","Eswatini"
"5dfae6ef-ce96-ea11-b813-005056830319","ETH","231","Ethiopia"
"5ffae6ef-ce96-ea11-b813-005056830319","FLK","238","Falkland Islands (Malvinas)"
"61fae6ef-ce96-ea11-b813-005056830319","FRO","234","Faroe Islands"
"63fae6ef-ce96-ea11-b813-005056830319","FJI","242","Fiji"
"65fae6ef-ce96-ea11-b813-005056830319","FIN","246","Finland"
"67fae6ef-ce96-ea11-b813-005056830319","FRA","250","France"
"69fae6ef-ce96-ea11-b813-005056830319","GUF","254","French Guiana"
"6bfae6ef-ce96-ea11-b813-005056830319","PYF","258","French Polynesia"
"6dfae6ef-ce96-ea11-b813-005056830319","ATF","260","French Southern Territories"
"6ffae6ef-ce96-ea11-b813-005056830319","GAB","266","Gabon"
"71fae6ef-ce96-ea11-b813-005056830319","GMB","270","Gambia"
"73fae6ef-ce96-ea11-b813-005056830319","GEO","268","Georgia"
"75fae6ef-ce96-ea11-b813-005056830319","DEU","276","Germany"
"77fae6ef-ce96-ea11-b813-005056830319","GHA","288","Ghana"
"79fae6ef-ce96-ea11-b813-005056830319","GIB","292","Gibraltar"
"7bfae6ef-ce96-ea11-b813-005056830319","GRC","300","Greece"
"7dfae6ef-ce96-ea11-b813-005056830319","GRL","304","Greenland"
"7ffae6ef-ce96-ea11-b813-005056830319","GRD","308","Grenada"
"81fae6ef-ce96-ea11-b813-005056830319","GLP","312","Guadeloupe"
"83fae6ef-ce96-ea11-b813-005056830319","GUM","316","Guam"
"85fae6ef-ce96-ea11-b813-005056830319","GTM","320","Guatemala"
"87fae6ef-ce96-ea11-b813-005056830319","GGY","831","Guernsey"
"89fae6ef-ce96-ea11-b813-005056830319","GIN","324","Guinea"
"8bfae6ef-ce96-ea11-b813-005056830319","GNB","624","Guinea-Bissau"
"8dfae6ef-ce96-ea11-b813-005056830319","GUY","328","Guyana"
"8ffae6ef-ce96-ea11-b813-005056830319","HTI","332","Haiti"
"91fae6ef-ce96-ea11-b813-005056830319","HMD","334","Heard Island and McDonald Islands"
"93fae6ef-ce96-ea11-b813-005056830319","VAT","336","Holy See"
"95fae6ef-ce96-ea11-b813-005056830319","HND","340","Honduras"
"97fae6ef-ce96-ea11-b813-005056830319","HKG","344","Hong Kong"
"99fae6ef-ce96-ea11-b813-005056830319","HUN","348","Hungary"
"9bfae6ef-ce96-ea11-b813-005056830319","ISL","352","Iceland"
"9dfae6ef-ce96-ea11-b813-005056830319","IND","356","India"
"9ffae6ef-ce96-ea11-b813-005056830319","IDN","360","Indonesia"
"a1fae6ef-ce96-ea11-b813-005056830319","IRN","364","Iran (Islamic Republic of)"
"a3fae6ef-ce96-ea11-b813-005056830319","IRQ","368","Iraq"
"a5fae6ef-ce96-ea11-b813-005056830319","IRL","372","Ireland"
"a7fae6ef-ce96-ea11-b813-005056830319","IMN","833","Isle of Man"
"a9fae6ef-ce96-ea11-b813-005056830319","ISR","376","Israel"
"abfae6ef-ce96-ea11-b813-005056830319","ITA","380","Italy"
"adfae6ef-ce96-ea11-b813-005056830319","JAM","388","Jamaica"
"affae6ef-ce96-ea11-b813-005056830319","JPN","392","Japan"
"b1fae6ef-ce96-ea11-b813-005056830319","JEY","832","Jersey"
"b3fae6ef-ce96-ea11-b813-005056830319","JOR","400","Jordan"
"b5fae6ef-ce96-ea11-b813-005056830319","KAZ","398","Kazakhstan"
"b7fae6ef-ce96-ea11-b813-005056830319","KEN","404","Kenya"
"b9fae6ef-ce96-ea11-b813-005056830319","KIR","296","Kiribati"
"bbfae6ef-ce96-ea11-b813-005056830319","PRK","408","Korea (Democratic People's Republic of)"
"bffae6ef-ce96-ea11-b813-005056830319","KWT","414","Kuwait"
"c1fae6ef-ce96-ea11-b813-005056830319","KGZ","417","Kyrgyzstan"
"c3fae6ef-ce96-ea11-b813-005056830319","LAO","418","Lao People's Democratic Republic"
"c5fae6ef-ce96-ea11-b813-005056830319","LVA","428","Latvia"
"c7fae6ef-ce96-ea11-b813-005056830319","LBN","422","Lebanon"
"c9fae6ef-ce96-ea11-b813-005056830319","LSO","426","Lesotho"
"cbfae6ef-ce96-ea11-b813-005056830319","LBR","430","Liberia"
"cdfae6ef-ce96-ea11-b813-005056830319","LBY","434","Libya"
"cffae6ef-ce96-ea11-b813-005056830319","LIE","438","Liechtenstein"
"d1fae6ef-ce96-ea11-b813-005056830319","LTU","440","Lithuania"
"d3fae6ef-ce96-ea11-b813-005056830319","LUX","442","Luxembourg"
"d5fae6ef-ce96-ea11-b813-005056830319","MAC","446","Macao"
"d7fae6ef-ce96-ea11-b813-005056830319","MDG","450","Madagascar"
"d9fae6ef-ce96-ea11-b813-005056830319","MWI","454","Malawi"
"dbfae6ef-ce96-ea11-b813-005056830319","MYS","458","Malaysia"
"ddfae6ef-ce96-ea11-b813-005056830319","MDV","462","Maldives"
"dffae6ef-ce96-ea11-b813-005056830319","MLI","466","Mali"
"e1fae6ef-ce96-ea11-b813-005056830319","MLT","470","Malta"
"e3fae6ef-ce96-ea11-b813-005056830319","MHL","584","Marshall Islands"
"e5fae6ef-ce96-ea11-b813-005056830319","MTQ","474","Martinique"
"e7fae6ef-ce96-ea11-b813-005056830319","MRT","478","Mauritania"
"e9fae6ef-ce96-ea11-b813-005056830319","MUS","480","Mauritius"
"ebfae6ef-ce96-ea11-b813-005056830319","MYT","175","Mayotte"
"edfae6ef-ce96-ea11-b813-005056830319","MEX","484","Mexico"
"effae6ef-ce96-ea11-b813-005056830319","FSM","583","Micronesia (Federated States of)"
"f3fae6ef-ce96-ea11-b813-005056830319","MCO","492","Monaco"
"f5fae6ef-ce96-ea11-b813-005056830319","MNG","496","Mongolia"
"f7fae6ef-ce96-ea11-b813-005056830319","MNE","499","Montenegro"
"f9fae6ef-ce96-ea11-b813-005056830319","MSR","500","Montserrat"
"fbfae6ef-ce96-ea11-b813-005056830319","MAR","504","Morocco"
"fdfae6ef-ce96-ea11-b813-005056830319","MOZ","508","Mozambique"
"fffae6ef-ce96-ea11-b813-005056830319","MMR","104","Myanmar"
"01fbe6ef-ce96-ea11-b813-005056830319","NAM","516","Namibia"
"03fbe6ef-ce96-ea11-b813-005056830319","NRU","520","Nauru"
"05fbe6ef-ce96-ea11-b813-005056830319","NPL","524","Nepal"
"07fbe6ef-ce96-ea11-b813-005056830319","NLD","528","Netherlands"
"09fbe6ef-ce96-ea11-b813-005056830319","NCL","540","New Caledonia"
"0bfbe6ef-ce96-ea11-b813-005056830319","NZL","554","New Zealand"
"0dfbe6ef-ce96-ea11-b813-005056830319","NIC","558","Nicaragua"
"0ffbe6ef-ce96-ea11-b813-005056830319","NER","562","Niger"
"11fbe6ef-ce96-ea11-b813-005056830319","NGA","566","Nigeria"
"13fbe6ef-ce96-ea11-b813-005056830319","NIU","570","Niue"
"15fbe6ef-ce96-ea11-b813-005056830319","NFK","574","Norfolk Island"
"17fbe6ef-ce96-ea11-b813-005056830319","MKD","807","North Macedonia"
"19fbe6ef-ce96-ea11-b813-005056830319","MNP","580","Northern Mariana Islands"
"1bfbe6ef-ce96-ea11-b813-005056830319","NOR","578","Norway"
"1dfbe6ef-ce96-ea11-b813-005056830319","OMN","512","Oman"
"1ffbe6ef-ce96-ea11-b813-005056830319","PAK","586","Pakistan"
"21fbe6ef-ce96-ea11-b813-005056830319","PLW","585","Palau"
"25fbe6ef-ce96-ea11-b813-005056830319","PAN","591","Panama"
"27fbe6ef-ce96-ea11-b813-005056830319","PNG","598","Papua New Guinea"
"29fbe6ef-ce96-ea11-b813-005056830319","PRY","600","Paraguay"
"2bfbe6ef-ce96-ea11-b813-005056830319","PER","604","Peru"
"2dfbe6ef-ce96-ea11-b813-005056830319","PHL","608","Philippines"
"2ffbe6ef-ce96-ea11-b813-005056830319","PCN","612","Pitcairn"
"31fbe6ef-ce96-ea11-b813-005056830319","POL","616","Poland"
"33fbe6ef-ce96-ea11-b813-005056830319","PRT","620","Portugal"
"35fbe6ef-ce96-ea11-b813-005056830319","PRI","630","Puerto Rico"
"37fbe6ef-ce96-ea11-b813-005056830319","QAT","634","Qatar"
"39fbe6ef-ce96-ea11-b813-005056830319","REU","638","Réunion"
"3bfbe6ef-ce96-ea11-b813-005056830319","ROU","642","Romania"
"3dfbe6ef-ce96-ea11-b813-005056830319","RUS","643","Russian Federation"
"3ffbe6ef-ce96-ea11-b813-005056830319","RWA","646","Rwanda"
"41fbe6ef-ce96-ea11-b813-005056830319","BLM","652","Saint Barthélemy"
"45fbe6ef-ce96-ea11-b813-005056830319","KNA","659","Saint Kitts and Nevis"
"47fbe6ef-ce96-ea11-b813-005056830319","LCA","662","Saint Lucia"
"49fbe6ef-ce96-ea11-b813-005056830319","MAF","663","Saint Martin (French part)"
"4bfbe6ef-ce96-ea11-b813-005056830319","SPM","666","Saint Pierre and Miquelon"
"4dfbe6ef-ce96-ea11-b813-005056830319","VCT","670","Saint Vincent and the Grenadines"
"4ffbe6ef-ce96-ea11-b813-005056830319","WSM","882","Samoa"
"51fbe6ef-ce96-ea11-b813-005056830319","SMR","674","San Marino"
"53fbe6ef-ce96-ea11-b813-005056830319","STP","678","Sao Tome and Principe"
"55fbe6ef-ce96-ea11-b813-005056830319","SAU","682","Saudi Arabia"
"57fbe6ef-ce96-ea11-b813-005056830319","SEN","686","Senegal"
"59fbe6ef-ce96-ea11-b813-005056830319","SRB","688","Serbia"
"5bfbe6ef-ce96-ea11-b813-005056830319","SYC","690","Seychelles"
"5dfbe6ef-ce96-ea11-b813-005056830319","SLE","694","Sierra Leone"
"5ffbe6ef-ce96-ea11-b813-005056830319","SGP","702","Singapore"
"61fbe6ef-ce96-ea11-b813-005056830319","SXM","534","Sint Maarten (Dutch part)"
"63fbe6ef-ce96-ea11-b813-005056830319","SVK","703","Slovakia"
"65fbe6ef-ce96-ea11-b813-005056830319","SVN","705","Slovenia"
"67fbe6ef-ce96-ea11-b813-005056830319","SLB","90","Solomon Islands"
"69fbe6ef-ce96-ea11-b813-005056830319","SOM","706","Somalia"
"6bfbe6ef-ce96-ea11-b813-005056830319","ZAF","710","South Africa"
"6dfbe6ef-ce96-ea11-b813-005056830319","SGS","239","South Georgia and the South Sandwich Islands"
"6ffbe6ef-ce96-ea11-b813-005056830319","SSD","728","South Sudan"
"71fbe6ef-ce96-ea11-b813-005056830319","ESP","724","Spain"
"73fbe6ef-ce96-ea11-b813-005056830319","LKA","144","Sri Lanka"
"75fbe6ef-ce96-ea11-b813-005056830319","SDN","729","Sudan"
"77fbe6ef-ce96-ea11-b813-005056830319","SUR","740","Suriname"
"79fbe6ef-ce96-ea11-b813-005056830319","SJM","744","Svalbard and Jan Mayen"
"7bfbe6ef-ce96-ea11-b813-005056830319","SWE","752","Sweden"
"7dfbe6ef-ce96-ea11-b813-005056830319","CHE","756","Switzerland"
"7ffbe6ef-ce96-ea11-b813-005056830319","SYR","760","Syrian Arab Republic"
"83fbe6ef-ce96-ea11-b813-005056830319","TJK","762","Tajikistan"
"87fbe6ef-ce96-ea11-b813-005056830319","THA","764","Thailand"
"89fbe6ef-ce96-ea11-b813-005056830319","TLS","626","Timor-Leste"
"8bfbe6ef-ce96-ea11-b813-005056830319","TGO","768","Togo"
"8dfbe6ef-ce96-ea11-b813-005056830319","TKL","772","Tokelau"
"8ffbe6ef-ce96-ea11-b813-005056830319","TON","776","Tonga"
"91fbe6ef-ce96-ea11-b813-005056830319","TTO","780","Trinidad and Tobago"
"93fbe6ef-ce96-ea11-b813-005056830319","TUN","788","Tunisia"
"95fbe6ef-ce96-ea11-b813-005056830319","TUR","792","Turkey"
"97fbe6ef-ce96-ea11-b813-005056830319","TKM","795","Turkmenistan"
"99fbe6ef-ce96-ea11-b813-005056830319","TCA","796","Turks and Caicos Islands"
"9bfbe6ef-ce96-ea11-b813-005056830319","TUV","798","Tuvalu"
"9dfbe6ef-ce96-ea11-b813-005056830319","UGA","800","Uganda"
"9ffbe6ef-ce96-ea11-b813-005056830319","UKR","804","Ukraine"
"a1fbe6ef-ce96-ea11-b813-005056830319","ARE","784","United Arab Emirates"
"a3fbe6ef-ce96-ea11-b813-005056830319","GBR","826","United Kingdom of Great Britain and Northern Ireland"
"a5fbe6ef-ce96-ea11-b813-005056830319","USA","840","United States of America"
"a7fbe6ef-ce96-ea11-b813-005056830319","UMI","581","United States Minor Outlying Islands"
"a9fbe6ef-ce96-ea11-b813-005056830319","URY","858","Uruguay"
"abfbe6ef-ce96-ea11-b813-005056830319","UZB","860","Uzbekistan"
"adfbe6ef-ce96-ea11-b813-005056830319","VUT","548","Vanuatu"
"affbe6ef-ce96-ea11-b813-005056830319","VEN","862","Venezuela (Bolivarian Republic of)"
"b1fbe6ef-ce96-ea11-b813-005056830319","VNM","704","Viet Nam"
"b3fbe6ef-ce96-ea11-b813-005056830319","VGB","92","Virgin Islands (British)"
"b5fbe6ef-ce96-ea11-b813-005056830319","VIR","850","Virgin Islands (U.S.)"
"b7fbe6ef-ce96-ea11-b813-005056830319","WLF","876","Wallis and Futuna"
"b9fbe6ef-ce96-ea11-b813-005056830319","ESH","732","Western Sahara"
"bbfbe6ef-ce96-ea11-b813-005056830319","YEM","887","Yemen"
"bdfbe6ef-ce96-ea11-b813-005056830319","ZMB","894","Zambia"
"bffbe6ef-ce96-ea11-b813-005056830319","ZWE","716","Zimbabwe"
"13539953-4195-ea11-b818-00505683fbf4","CAN","124","Canada"
